skill,min,max,mean,stdev,plage,coef,proba,nb annonces
dashboards,35000,96000,54868,17327,61000,0.6015779092702169,0.006325040513958276,20
network,30000,63000,40300,8765,33000,0.3254437869822485,0.0034217432288626733,20
devoxx,30000,55000,43750,7922,25000,0.2465483234714004,0.002592229718835359,19
pandas,20400,80000,44358,15099,59600,0.5877712031558185,0.006179875649703496,19
springboot,20640,79200,42965,12524,58560,0.5775147928994083,0.0060720388933999435,19
moe,25000,108000,52000,19231,83000,0.8185404339250493,0.008606202666533391,19
phpunit,30000,60000,43638,8000,30000,0.2958579881656805,0.0031106756626024306,18
postgre,30000,55000,41055,8585,25000,0.2465483234714004,0.002592229718835359,18
ssrs,28000,108000,43027,17964,80000,0.7889546351084813,0.008295135100273148,18
dataviz,25000,80000,45058,14711,55000,0.5424063116370809,0.00570290538143779,18
reportings,25000,120000,54729,29191,95000,0.9368836291913216,0.009850472931574364,18
mining,30000,80000,49147,12940,50000,0.4930966469428008,0.005184459437670718,18
intellij,22800,50000,37987,6385,27200,0.2682445759368836,0.0028203459340928705,17
postgres,30000,60000,41268,8133,30000,0.2958579881656805,0.0031106756626024306,17
powerbi,24000,120000,50656,26838,96000,0.9467455621301776,0.009954162120327778,17
javaee,35000,60000,47176,8494,25000,0.2465483234714004,0.002592229718835359,17
cplusplus,37000,90000,55625,16546,53000,0.5226824457593688,0.005495527003930961,16
ml,35000,70000,51875,8091,35000,0.3451676528599605,0.0036291216063695023,16
datalake,41000,120000,66500,24755,79000,0.7790927021696252,0.008191445911519733,16
warehouse,44000,70000,50708,7244,26000,0.2564102564102564,0.002695918907588773,15
webmarketing,25000,90000,40000,13714,65000,0.6410256410256411,0.006739797268971933,15
chatbot,30000,70000,50954,9564,40000,0.3944773175542407,0.004147567550136574,14
mvvm,30000,50000,41629,6674,20000,0.19723865877712032,0.002073783775068287,14
workflows,30000,65000,43142,8729,35000,0.3451676528599605,0.0036291216063695023,14
selenium,30000,67200,44800,10587,37200,0.3668639053254438,0.003857237821627014,14
emailing,25000,80000,48904,17282,55000,0.5424063116370809,0.00570290538143779,14
heroku,35000,80000,49107,9818,45000,0.4437869822485207,0.004666013493903646,14
material,37000,60000,48375,6364,23000,0.2268244575936884,0.00238485134132853,14
grafana,30000,60000,41909,8331,30000,0.2958579881656805,0.0031106756626024306,13
golang,35000,70000,49769,9467,35000,0.3451676528599605,0.0036291216063695023,13
webdev,30000,50000,36708,6636,20000,0.19723865877712032,0.002073783775068287,13
processing,20400,70000,43715,15169,49600,0.4891518737672584,0.005142983762169352,13
cloudera,30000,80000,48150,10176,50000,0.4930966469428008,0.005184459437670718,12
bigquery,38000,80000,53800,12137,42000,0.4142011834319527,0.004354945927643403,12
webdesign,24000,45000,32055,4832,21000,0.20710059171597636,0.002177472963821701,11
perl,27000,55000,38909,9319,28000,0.2761341222879685,0.002903297285095602,11
hacking,30000,81000,49750,17926,51000,0.5029585798816568,0.0052881486264241325,11
puppet,32000,60000,45363,9930,28000,0.2761341222879685,0.002903297285095602,11
sqlserver,26000,70000,40952,12014,44000,0.4339250493096647,0.004562324305150232,11
backbonejs,30000,60000,41736,8312,30000,0.2958579881656805,0.0031106756626024306,11
hdfs,38000,65000,48730,6668,27000,0.26627218934911245,0.002799608096342188,11
mongo,35000,80000,48750,12656,45000,0.4437869822485207,0.004666013493903646,11
trading,20400,96000,48380,22290,75600,0.7455621301775148,0.007838902669758126,10
computing,30000,60000,42277,9195,30000,0.2958579881656805,0.0031106756626024306,10
wamp,30000,50000,37600,4683,20000,0.19723865877712032,0.002073783775068287,10
twig,20160,50000,35684,9393,29840,0.29428007889546354,0.0030940853924018843,10
mapping,40000,63000,48375,7561,23000,0.2268244575936884,0.00238485134132853,10
orm,28800,60000,37360,8310,31200,0.3076923076923077,0.003235102689106528,10
basic,22200,84000,40744,18494,61800,0.6094674556213018,0.006407991864961007,10
ubuntu,24000,45000,33083,7501,21000,0.20710059171597636,0.002177472963821701,10
extjs,25000,79200,40820,15474,54200,0.534516765285996,0.005619954030435058,10
phpstorm,30000,60000,42166,7342,30000,0.2958579881656805,0.0031106756626024306,10
scraping,35000,55000,44250,6560,20000,0.19723865877712032,0.002073783775068287,10
dataflow,35000,70000,49900,9983,35000,0.3451676528599605,0.0036291216063695023,10
flask,35000,55000,48000,5537,20000,0.19723865877712032,0.002073783775068287,10
firmware,35000,50000,41111,6542,15000,0.14792899408284024,0.0015553378313012153,9
embedded,40000,65000,50166,9666,25000,0.2465483234714004,0.002592229718835359,9
mco,38000,70000,52657,12900,32000,0.3155818540433925,0.003318054040109259,9
twilio,35000,50000,42142,4258,15000,0.14792899408284024,0.0015553378313012153,9
openapi,35000,60000,45333,7654,25000,0.2465483234714004,0.002592229718835359,9
trello,32000,60000,44500,9629,28000,0.2761341222879685,0.002903297285095602,9
clouds,32000,60000,47937,8887,28000,0.2761341222879685,0.002903297285095602,9
webapi,21600,60000,45887,12180,38400,0.37869822485207105,0.0039816648481311116,9
gitflow,25000,42000,35312,5522,17000,0.16765285996055224,0.001762716208808044,9
fromscratch,20640,70000,48237,15082,49360,0.486785009861933,0.005118098356868533,9
scikit,20400,80000,42662,18497,59600,0.5877712031558185,0.006179875649703496,9
clustering,25000,90000,59944,23190,65000,0.6410256410256411,0.006739797268971933,9
plugin,30000,55000,42375,7219,25000,0.2465483234714004,0.002592229718835359,9
illustrator,27000,60000,35833,9693,33000,0.3254437869822485,0.0034217432288626733,9
webgl,30000,50000,36833,6031,20000,0.19723865877712032,0.002073783775068287,9
templates,25000,55000,41071,11796,30000,0.2958579881656805,0.0031106756626024306,9
sgbdr,28000,40000,33500,4643,12000,0.11834319526627217,0.0012442702650409725,9
svm,30000,60000,42500,9309,30000,0.2958579881656805,0.0031106756626024306,8
tensorflow,40000,80000,57500,14693,40000,0.3944773175542407,0.004147567550136574,8
xhtml,20640,42000,31325,8018,21360,0.2106508875739645,0.0022148010717729307,8
backoffice,30000,80000,39416,15281,50000,0.4930966469428008,0.005184459437670718,8
containerisation,35000,60000,50625,6020,25000,0.2465483234714004,0.002592229718835359,8
datamining,30000,80000,51400,15597,50000,0.4930966469428008,0.005184459437670718,8
datawarehouse,21600,70000,44825,15061,48400,0.4773175542406312,0.005018556735665255,8
dashboard,26400,55000,43280,10605,28600,0.28205128205128205,0.002965510798347651,8
rspec,35000,65000,51071,9840,30000,0.2958579881656805,0.0031106756626024306,8
webservice,20640,50000,34942,9256,29360,0.28954635108481264,0.003044314581800245,8
vm,24000,55000,41142,11175,31000,0.3057199211045365,0.003214364851355845,8
symphony,28800,52000,36300,8362,23200,0.2287968441814596,0.002405589179079213,7
wms,32000,80000,41785,16455,48000,0.4733727810650887,0.004977081060163889,7
database,23000,96000,43857,23441,73000,0.7199211045364892,0.007569310778999248,7
arm,30000,54000,42071,8137,24000,0.2366863905325444,0.0024885405300819445,7
indesign,27000,36000,32000,3366,9000,0.08875739644970414,0.0009332026987807293,7
numpy,30000,65000,46614,11637,35000,0.3451676528599605,0.0036291216063695023,7
winform,30000,50000,39700,7149,20000,0.19723865877712032,0.002073783775068287,6
benchmarks,38000,80000,49916,14469,42000,0.4142011834319527,0.004354945927643403,6
opengl,30000,50000,38000,7745,20000,0.19723865877712032,0.002073783775068287,6
jupyter,40700,70000,57760,10241,29300,0.28895463510848124,0.0030380932304750405,6
dotnet,30000,60000,44583,10326,30000,0.2958579881656805,0.0031106756626024306,6
bpm,24000,55000,39833,9824,31000,0.3057199211045365,0.003214364851355845,6
ngrx,40000,60000,47500,7229,20000,0.19723865877712032,0.002073783775068287,6
lstm,30000,60000,44000,11737,30000,0.2958579881656805,0.0031106756626024306,6
rxjava,35000,60000,46250,8103,25000,0.2465483234714004,0.002592229718835359,6
rxjs,37000,50000,44500,5435,13000,0.1282051282051282,0.0013479594537943865,6
cnn,30000,60000,44000,11737,30000,0.2958579881656805,0.0031106756626024306,6
boosting,40000,90000,68750,18231,50000,0.4930966469428008,0.005184459437670718,6
ecmascript,37000,65000,45750,7955,28000,0.2761341222879685,0.002903297285095602,6
mqtt,32000,55000,41416,7476,23000,0.2268244575936884,0.00238485134132853,6
openstack,30000,55000,39500,7306,25000,0.2465483234714004,0.002592229718835359,6
rgpd,24000,100000,56250,24481,76000,0.7495069033530573,0.007880378345259492,6
